CHV;Código Fazenda;CD_UPNIVEL3;DT_ANALISE;NIVEL INFESTAÇÃO;;Nivel de Infestação;
201020004;20102;4;01/08/2020;B;;;
201020006;20102;6;01/08/2020;B;;;
201020007;20102;7;01/08/2020;B;;;
201020010;20102;10;01/08/2020;B;;;
203050001;20305;1;20/01/2016;B;;;
203050077;20305;77;01/08/2020;M;;;
203050078;20305;78;01/08/2020;M;;;
203050079;20305;79;01/08/2020;B;;;
203050080;20305;80;01/08/2020;B;;;
203050081;20305;81;01/08/2020;M;;;
203050097;20305;97;01/08/2020;B;;;
203050185;20305;185;17/12/2019;B;;;
203050186;20305;186;17/12/2019;M;;;
203050220;20305;220;17/12/2019;B;;;
203050226;20305;226;17/12/2019;M;;;
203050263;20305;263;11/05/2023;A;;;
203050292;20305;292;02/03/2022;A;;;
203050293;20305;293;02/03/2022;B;;;
203050294;20305;294;02/03/2022;B;;;
203050296;20305;296;02/03/2022;M;;;
203050297;20305;297;01/08/2020;B;;;
203050298;20305;298;27/03/2019;B;;;
203050299;20305;299;02/03/2022;A;;;
203050402;20305;402;02/03/2022;M;;;
203050408;20305;408;02/03/2022;A;;;
203050410;20305;410;02/03/2022;M;;;
203050412;20305;412;02/03/2022;A;;;
203080001;20308;1;05/01/2022;B;;;
203140001;20314;1;29/03/2019;B;;;
203140002;20314;2;29/03/2019;B;;;
203140003;20314;3;29/03/2019;B;;;
203140004;20314;4;29/03/2019;B;;;
203140005;20314;5;29/03/2019;B;;;
203140006;20314;6;29/03/2019;B;;;
203140007;20314;7;29/03/2019;B;;;
203140008;20314;8;29/03/2019;B;;;
203140009;20314;9;29/03/2019;B;;;
203140010;20314;10;29/03/2019;B;;;
203140011;20314;11;29/03/2019;B;;;
203140012;20314;12;29/03/2019;B;;;
203140013;20314;13;06/05/2020;B;;;
203140015;20314;15;29/03/2019;B;;;
203140017;20314;17;29/03/2019;B;;;
203140018;20314;18;03/12/2019;B;;;
203140019;20314;19;03/12/2019;B;;;
203140020;20314;20;03/12/2019;B;;;
203140021;20314;21;29/03/2019;B;;;
203140022;20314;22;29/03/2019;B;;;
203140023;20314;23;29/03/2019;B;;;
203140024;20314;24;29/03/2019;B;;;
203140025;20314;25;29/03/2019;B;;;
203140026;20314;26;29/03/2019;B;;;
203140027;20314;27;29/03/2019;B;;;
203140028;20314;28;29/03/2019;B;;;
203140029;20314;29;29/03/2019;B;;;
203140033;20314;33;29/03/2019;B;;;
203140034;20314;34;29/03/2019;B;;;
203140036;20314;36;29/03/2019;M;;;
203140037;20314;37;29/03/2019;B;;;
203140039;20314;39;29/03/2019;M;;;
203140041;20314;41;29/03/2019;B;;;
203140042;20314;42;29/03/2019;M;;;
203140044;20314;44;29/03/2019;B;;;
203140045;20314;45;29/03/2019;B;;;
203140047;20314;47;20/01/2017;B;;;
203140048;20314;48;29/03/2019;B;;;
203140056;20314;56;29/03/2019;B;;;
203140057;20314;57;29/03/2019;B;;;
203140059;20314;59;29/03/2019;B;;;
203140063;20314;63;29/03/2019;B;;;
203140064;20314;64;29/03/2019;B;;;
203140068;20314;68;29/03/2019;B;;;
203140069;20314;69;29/03/2019;B;;;
203140084;20314;84;06/05/2020;B;;;
203140085;20314;85;06/05/2020;B;;;
203140087;20314;87;06/05/2020;B;;;
203140089;20314;89;06/05/2020;B;;;
203140090;20314;90;06/05/2020;B;;;
203140091;20314;91;06/05/2020;B;;;
203140093;20314;93;06/05/2020;B;;;
203140095;20314;95;06/05/2020;B;;;
203140096;20314;96;06/05/2020;B;;;
203140098;20314;98;06/05/2020;B;;;
203140099;20314;99;06/05/2020;B;;;
203140101;20314;101;06/05/2020;B;;;
203140102;20314;102;06/05/2020;B;;;
203140103;20314;103;06/05/2020;B;;;
203140109;20314;109;20/01/2017;B;;;
203140111;20314;111;06/05/2020;B;;;
203140112;20314;112;06/05/2020;M;;;
203140113;20314;113;06/05/2020;B;;;
203140114;20314;114;06/05/2020;B;;;
203140115;20314;115;20/01/2017;B;;;
203140116;20314;116;06/05/2020;B;;;
203140117;20314;117;06/05/2020;B;;;
203140118;20314;118;02/03/2022;A;;;
203140120;20314;120;06/05/2020;A;;;
203140121;20314;121;06/05/2020;M;;;
203140122;20314;122;06/05/2020;M;;;
203140123;20314;123;06/05/2020;A;;;
203140125;20314;125;06/05/2020;B;;;
203140126;20314;126;06/05/2020;A;;;
203140129;20314;129;06/05/2020;B;;;
203140135;20314;135;06/05/2020;B;;;
203140136;20314;136;06/05/2020;B;;;
203140137;20314;137;06/05/2020;B;;;
203140138;20314;138;20/01/2017;B;;;
203140141;20314;141;20/01/2017;B;;;
203140143;20314;143;20/01/2017;B;;;
203140145;20314;145;06/05/2020;M;;;
203140151;20314;151;20/01/2017;B;;;
203140164;20314;164;20/01/2017;B;;;
203140165;20314;165;06/05/2020;B;;;
203140166;20314;166;06/05/2020;B;;;
203140168;20314;168;06/05/2020;B;;;
203140169;20314;169;06/05/2020;M;;;
203140488;20314;488;09/03/2020;M;;;
203140500;20314;500;29/05/2020;A;;;
203140502;20314;502;29/05/2020;A;;;
203140504;20314;504;29/05/2020;A;;;
203140505;20314;505;29/05/2020;A;;;
203140509;20314;509;29/05/2020;M;;;
203140510;20314;510;29/05/2020;M;;;
203140515;20314;515;29/05/2020;M;;;
203140518;20314;518;29/05/2020;A;;;
203140520;20314;520;29/05/2020;A;;;
203140522;20314;522;09/03/2020;B;;;
203140523;20314;523;09/03/2020;B;;;
203140524;20314;524;16/03/2020;B;;;
203140525;20314;525;16/03/2020;M;;;
203140526;20314;526;16/03/2020;B;;;
203140527;20314;527;16/03/2020;B;;;
203140528;20314;528;16/03/2020;B;;;
203140529;20314;529;16/03/2020;B;;;
203140530;20314;530;16/03/2020;M;;;
203140531;20314;531;09/03/2020;M;;;
203140532;20314;532;09/03/2020;B;;;
203140533;20314;533;09/03/2020;B;;;
203140534;20314;534;09/03/2020;M;;;
203140535;20314;535;09/03/2020;B;;;
203140536;20314;536;16/03/2020;M;;;
203140537;20314;537;16/03/2020;B;;;
203140538;20314;538;16/03/2020;B;;;
203140539;20314;539;16/03/2020;M;;;
203140540;20314;540;09/03/2020;B;;;
203140541;20314;541;09/03/2020;A;;;
203140542;20314;542;09/03/2020;B;;;
203140543;20314;543;09/03/2020;B;;;
203140544;20314;544;09/03/2020;B;;;
203140545;20314;545;09/03/2020;B;;;
203140546;20314;546;16/03/2020;B;;;
203140547;20314;547;16/03/2020;B;;;
203140548;20314;548;16/03/2020;B;;;
203140549;20314;549;16/03/2020;B;;;
