Benchmarking CTC - Impureza Mineral (kg/tc) - Safra 2025 (própria)  ;;;;;;;;;;;;;;
;Participante;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Jan;Fev;Média
111;Cofco - Potirendaba;;1,4;0,93;0,98;0,7;0,6;0,6;1,02;1,6;;;;
112;Cofco - Meridiano;;1,33;1,1;1,1;0,7;0,7;0,6;1,08;1,6;;;;
113;Cofco - Catanduva;;1,27;1,18;1,07;0,7;0,7;0,7;1,14;1,99;;;;
114;Cocal PPT;0,73;0,79;0,73;1,08;0,74;0,76;0,6;0,87;1,03;;;;
115;Cocal NRD;0,77;0,87;0,81;0,94;0,67;0,68;0,54;0,71;0,96;;;;
116;Clealco - Queiroz;;1,25;0,88;1,04;0,9;0,79;0,71;1,12;1,06;;;;
117;Clealco - Clementina;;1,34;0,86;1,02;0,89;0,61;1,42;0,77;0,84;;;;
118;Cevasa;;0,82;0,65;0,5;0,38;0,35;0,45;0,47;0,95;;;;
119;Cerradão;;1,26;0,9;0,81;0,49;0,46;0,51;0,81;1,05;;;;
120;Cerradinho Bioenergia;;1,18;0,83;0,95;0,74;0,67;0,73;0,85;0,82;1,2;;;
121;Participante 121;;0,48;0,32;0,36;0,47;0,37;0,38;0,47;0,47;0,64;;;
122;Cargill Bioenergia - USF;;1,69;0,85;0,75;0,58;0,63;0,66;0,83;1,07;0,86;;;
123;Cargill Bioenergia - URD;;1,35;0,98;0,89;0,62;0,62;0,59;0,73;0,84;;;;
124;Cananova - Mirassol D Oeste;;;0,7;0,53;0,33;0,33;0,36;0,4;0,67;;;;
125;Cananova - Lambari D Oeste;;0,87;0,85;0,57;0,48;0,62;0,39;0,37;0,46;;;;
126;CMAA - Vale do Tijuco;;1,33;0,94;0,77;0,54;0,51;0,59;0,7;1,15;;;;
127;CMAA - Canápolis;;0,88;0,7;0,56;0,55;0,53;0,6;0,76;1,14;;;;
128;Bunge - Rio Vermelho;;;1,01;1,07;0,98;0,94;0,95;0,99;0,99;;;;
129;Bunge - Nova Unialco;;0,79;0,7;0,79;0,6;0,51;0,5;0,63;0,91;;;;
130;Branco Peres;;0,81;0,82;0,8;0,75;0,65;0,75;0,76;0,99;;;;
131;Bevap;;1,77;1,09;0,97;0,94;0,75;0,95;0,97;1,27;;;;
132;Batatais;;0,91;0,77;0,63;0,59;0,58;0,58;0,65;0,99;;;;
133;Bandeirantes;;0,86;0,98;1,28;0,83;0,73;0,6;0,77;;;;;
134;Bambuí Bioenergia;;0,83;0,76;0,61;0,69;0,54;0,68;0,73;;;;;
135;Balbo - Uberaba;;0,82;0,51;0,48;0,39;0,34;0,42;0,46;0,62;;;;
136;Balbo - Santo Antonio;;1,07;0,7;0,71;0,51;0,43;0,46;0,76;0,75;;;;
137;BP - Tropical;1;1,04;0,81;0,77;0,6;0,55;0,55;0,61;0,39;;;;
138;BP - Santa Juliana;;0,65;0,53;0,52;0,48;0,43;0,43;;;;;;
139;BP - Pedro Afonso;0,74;0,98;0,72;0,44;0,38;0,43;0,47;0,68;;;;;
140;BP - Ouroeste;;;;;;;0,66;0,39;;;;;
