ELIMINADOR DE SOQUEIRA;;;;;CORRETIVO (CM);; CALCÁRIO ; GESSO ; FOSFATO ; DOLOGESSO ;;;CORRETIVO (TR);; CALCÁRIO ; GESSO ; FOSFATO ; DOLOGESSO ;;;GRADE;; PESADA ; MÉDIA ; LEVE ;;;ARAÇÃO;;;;;SUBSOLAGEM;;;;;SULCAÇÃO;; ADUBO ; TORTA ; DISTRIB. TORTA ;;;COBRIÇÃO;;;;;CORTE MUDA MEC;;;;;PLANTIO MECANIZADO;;;;;UNIPORT (Pulverizador);; Barra ; Pingente ; Linha Mãe ;;;HERBIPLUS;; Barra ; Linha Mãe ; Carreador ; Bordadura ; Curva/Árvore ;;;UNIPORT (Adubação);; Mineral ; Uréia ;;;TRATOR (Adubação);;Mineral;Uréia;;;TRATOR (Aduba+C.Soq.);;Mineral;Uréia;;;QUEBRA LOMBO (Adub+Herb);; Área Total ; Linha Mãe ;;;CORTE DE SOQUEIRA;;;;;ENLEIRAMENTO PALHA;;;;;MOTOBOMBA - VINHAÇA C.SOCA;;;;;MOTOBOMBA - VINHAÇA PLANTIO;;;;;MOTOBOMBA - SALVAMENTO;;;;;PIVÔ;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Capacidade;ha; -   ; -   ;;;Capacidade;ha; 6,00 ; 6,00 ;;;Capacidade;ha; 4,00 ; 4,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Duração;hr; -   ; -   ;;;Duração;hr; 2,56 ; 2,56 ;;;Duração;hr; 3,03 ; 3,03 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Abastecimento;hr;;;;;Abastecimento;hr; 0,20 ; 0,20 ;;;Abastecimento;hr; 0,20 ; 0,20 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deslocamento;hr;;;;;Deslocamento;hr; 0,20 ; 0,20 ;;;Deslocamento;hr; 0,20 ; 0,20 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paradas por dias;#; -   ; -   ;;;Paradas por dias;#; 5,13 ; 5,13 ;;;Paradas por dias;#; 4,34 ; 4,34 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RESUMO;;;;;RESUMO;;;;;;;;RESUMO;;;;;;;;RESUMO;;;;;;;RESUMO;;;;;RESUMO;;;;;RESUMO;;;;;;;RESUMO;;;;;RESUMO;;;;;RESUMO;;;;;RESUMO;;;;;;;RESUMO;;;;;;;;;RESUMO;;;;;;RESUMO;;;;;;RESUMO;;;;;;RESUMO;;;;;;RESUMO;;;;;RESUMO;;;;;RESUMO;;;;;RESUMO;;;;;RESUMO;;;;;RESUMO;;;;;;;;;;
Disponível;hr; 24,00 ;;;Disponível;hr; 24,00 ; 24,00 ; 24,00 ; 24,00 ;;;Disponível;hr; 24,00 ; 24,00 ; 24,00 ; 24,00 ;;;Disponível;hr; 24,00 ; 24,00 ; 24,00 ;;;Disponível;hr; 24,00 ;;;Disponível;hr; 24,00 ;;;Disponível;hr; 24,00 ; 24,00 ; 24,00 ;;;Disponível;hr; 24,00 ;;;Disponível;hr; 24,00 ;;;Disponível;hr; 24,00 ;;;Disponível;hr; 24,00 ; 24,00 ; 24,00 ;;;Disponível;hr; 24,00 ; 24,00 ; 24,00 ; 24,00 ; 24,00 ;;;Disponível;hr; 24,00 ; 24,00 ;;;Disponível;hr; 24,00 ; 24,00 ;;;Disponível;hr; 24,00 ; 24,00 ;;;Disponível;hr; 24,00 ; 24,00 ;;;Disponível;hr; 24,00 ;;;Disponível;hr; 10,00 ;;;Disponível;hr; 24,00 ;;;Disponível;hr; 24,00 ;;;Disponível;hr; 24,00 ;;;Disponível;hr; 24,00 ;;;;;;;;
Manutenção;hr; 4,80 ;;;Manutenção;hr; 4,80 ; 4,80 ; 4,80 ; 4,80 ;;;Manutenção;hr; 3,60 ; 3,60 ; 3,60 ; 3,60 ;;;Manutenção;hr; 4,80 ; 4,80 ; 4,80 ;;;Manutenção;hr; 4,80 ;;;Manutenção;hr; 4,80 ;;;Manutenção;hr; 3,60 ; 3,60 ; 3,60 ;;;Manutenção;hr; 3,60 ;;;Manutenção;hr; 4,80 ;;;Manutenção;hr; 3,60 ;;;Manutenção;hr; 4,80 ; 4,80 ; 4,80 ;;;Manutenção;hr; 3,60 ; 3,60 ; 3,60 ; 3,60 ; 3,60 ;;;Manutenção;hr; 7,20 ; 7,20 ;;;Manutenção;hr; 4,80 ; 4,80 ;;;Manutenção;hr; 4,80 ; 4,80 ;;;Manutenção;hr; 4,80 ; 4,80 ;;;Manutenção;hr; 3,60 ;;;Manutenção;hr; 1,00 ;;;Manutenção;hr; 3,60 ;15%;;Manutenção;hr; 3,60 ;15%;;Manutenção;hr; 3,60 ;;;Manutenção;hr; 3,60 ;;;;;;;;
Parada Motor Deslig;hr; 4,70 ;;;Parada Motor Deslig;hr; 4,46 ; 4,46 ; 4,46 ; 4,46 ;;;Parada Motor Deslig;hr; 4,20 ; 4,20 ; 4,20 ; 4,20 ;;;Parada Motor Deslig;hr; 4,30 ; 4,40 ; 4,30 ;;;Parada Motor Deslig;hr; 4,55 ;;;Parada Motor Deslig;hr; 4,55 ;;;Parada Motor Deslig;hr; 3,60 ; 3,60 ; 3,60 ;;;Parada Motor Deslig;hr; 3,60 ;;;Parada Motor Deslig;hr; 8,50 ;;;Parada Motor Deslig;hr; 6,35 ;;;Parada Motor Deslig;hr; 4,20 ; 4,20 ; 4,20 ;;;Parada Motor Deslig;hr; 4,20 ; 4,20 ; 4,20 ; 4,20 ; 4,20 ;;;Parada Motor Deslig;hr; 5,59 ; 5,59 ;;;Parada Motor Deslig;hr; 3,70 ; 3,70 ;;;Parada Motor Deslig;hr; 4,00 ; 4,00 ;;;Parada Motor Deslig;hr; 4,30 ; 4,30 ;;;Parada Motor Deslig;hr; 4,00 ;;;Parada Motor Deslig;hr; 4,00 ;;;Parada Motor Deslig;hr; 4,30 ;18%;;Parada Motor Deslig;hr; 3,60 ;15%;;Parada Motor Deslig;hr; 2,90 ;;;Parada Motor Deslig;hr; -   ;;;;;;;;
Parada Motor Ligado;hr; 0,10 ;;;Parada Motor Ligado;hr; 0,14 ; 0,14 ; 0,14 ; 0,14 ;;;Parada Motor Ligado;hr; 1,00 ; 1,00 ; 1,00 ; 1,00 ;;;Parada Motor Ligado;hr; 0,30 ; 0,30 ; 0,30 ;;;Parada Motor Ligado;hr; 0,60 ;;;Parada Motor Ligado;hr; 0,60 ;;;Parada Motor Ligado;hr; 1,00 ; 1,00 ; 1,00 ;;;Parada Motor Ligado;hr; 1,00 ;;;Parada Motor Ligado;hr; 1,00 ;;;Parada Motor Ligado;hr; 1,00 ;;;Parada Motor Ligado;hr; 0,80 ; 0,80 ; 0,80 ;;;Parada Motor Ligado;hr; 0,80 ; 0,80 ; 0,80 ; 0,80 ; 0,80 ;;;Parada Motor Ligado;hr; 1,60 ; 1,60 ;;;Parada Motor Ligado;hr; 1,00 ; 1,00 ;;;Parada Motor Ligado;hr; 1,00 ; 1,00 ;;;Parada Motor Ligado;hr; 1,00 ; 1,00 ;;;Parada Motor Ligado;; 1,00 ;;;Parada Motor Ligado;hr; -   ;;;Parada Motor Ligado;hr; -   ;;;Parada Motor Ligado;hr; -   ;;;Parada Motor Ligado;hr; -   ;;;Parada Motor Ligado;hr; -   ;;;;;;;;
Manobra;hr; -   ;;;Manobra;hr; -   ; -   ; -   ; -   ;;;Manobra;hr; 3,02 ; 3,27 ; 3,61 ; 3,42 ;;;Manobra;hr; 1,05 ; 1,33 ; 1,68 ;;;Manobra;hr; 0,51 ;;;Manobra;hr; 0,48 ;;;Manobra;hr; 0,56 ; 0,52 ; 1,31 ;;;Manobra;hr; 0,58 ;;;Manobra;hr; 0,21 ;;;Manobra;hr; 0,36 ;;;Manobra;hr; 2,37 ; 1,94 ; 0,57 ;;;Manobra;hr; 1,51 ; 0,50 ; -   ; -   ; -   ;;;Manobra;hr; 0,73 ; 0,79 ;;;Manobra;hr; 0,12 ; 0,12 ;;;Manobra;hr; 0,11 ; 0,12 ;;;Manobra;hr; 0,62 ; 0,62 ;;;Manobra;; 0,10 ;;;Manobra;hr; 0,30 ;;;Manobra;hr; -   ;;;Manobra;hr; -   ;;;Manobra;hr; -   ;;;Manobra;hr; -   ;;;;;;;;
Deslocamento;hr; 1,00 ;;;Deslocamento;hr; -   ; -   ; -   ; -   ;;;Deslocamento;hr; 1,00 ; 1,00 ; 1,00 ; 1,00 ;;;Deslocamento;hr; 1,00 ; 1,00 ; 1,00 ;;;Deslocamento;hr; 1,00 ;;;Deslocamento;hr; 1,00 ;;;Deslocamento;hr; 0,50 ; 0,50 ; 0,50 ;;;Deslocamento;hr; 1,00 ;;;Deslocamento;hr; 0,50 ;;;Deslocamento;hr; 0,50 ;;;Deslocamento;hr; 2,00 ; 2,00 ; 2,00 ;;;Deslocamento;hr; 2,00 ; 2,00 ; 1,00 ; 2,00 ; 2,00 ;;;Deslocamento;hr; 2,00 ; 2,00 ;;;Deslocamento;hr; 2,00 ; 2,00 ;;;Deslocamento;hr; 1,00 ; 1,00 ;;;Deslocamento;hr; 1,50 ; 1,50 ;;;Deslocamento;hr; 2,00 ;;;Deslocamento;hr; 0,50 ;;;Deslocamento;hr; -   ;;;Deslocamento;hr; -   ;;;Deslocamento;hr; -   ;;;Deslocamento;hr; -   ;;;;;;;;
Insumos;hr; -   ;;;Insumos;hr; 3,50 ; 2,50 ; 1,26 ; 1,95 ;;;Insumos;hr; 3,68 ; 2,73 ; 1,44 ; 2,16 ;;;Insumos;hr; -   ; -   ; -   ;;;Insumos;hr; 1,34 ;;;Insumos;hr; 1,75 ;;;Insumos;hr; 2,67 ; 3,53 ; 6,27 ;;;Insumos;hr; 0,76 ;;;Insumos;hr; -   ;;;Insumos;hr; 3,12 ;;;Insumos;hr; 2,33 ; 1,89 ; 0,54 ;;;Insumos;hr; 1,32 ; 0,46 ; 0,29 ; 0,96 ; 0,38 ;;;Insumos;hr; 2,05 ; 1,40 ;;;Insumos;hr; 0,82 ; 0,47 ;;;Insumos;hr; 1,03 ; 1,03 ;;;Insumos;hr; 0,87 ; 0,87 ;;;Insumos;hr; 1,36 ;;;Insumos;hr; -   ;;;Insumos;hr; -   ;;;Insumos;hr; -   ;;;Insumos;hr; -   ;;;Insumos;hr; -   ;;;;;;;;
Deslocamento Operac;hr; -   ;;;Deslocamento Operac;hr; 5,26 ; 3,75 ; 1,89 ; 2,92 ;;;Deslocamento Operac;hr; 5,53 ; 4,09 ; 2,15 ; 3,25 ;;;Deslocamento Operac;hr; -   ; -   ; -   ;;;Deslocamento Operac;hr; 2,00 ;;;Deslocamento Operac;hr; 2,62 ;;;Deslocamento Operac;hr; 3,34 ; 4,41 ; 4,18 ;;;Deslocamento Operac;hr; 1,14 ;;;Deslocamento Operac;hr; -   ;;;Deslocamento Operac;hr; 2,08 ;;;Deslocamento Operac;hr; 2,33 ; 1,89 ; 0,54 ;;;Deslocamento Operac;hr; 2,64 ; 0,92 ; 0,58 ; 1,92 ; 0,75 ;;;Deslocamento Operac;hr; 3,07 ; 2,11 ;;;Deslocamento Operac;hr; 1,22 ; 0,71 ;;;Deslocamento Operac;hr; 1,03 ; 1,03 ;;;Deslocamento Operac;hr; 0,87 ; 0,87 ;;;Deslocamento Operac;hr; 2,04 ;;;Deslocamento Operac;hr; -   ;;;Deslocamento Operac;hr; -   ;;;Deslocamento Operac;hr; -   ;;;Deslocamento Operac;hr; -   ;;;;;;;;;;;;;
Trabalhando;hr; 13,40 ;;;Trabalhando;hr; 5,84 ; 8,34 ; 11,45 ; 9,73 ;;;Trabalhando;hr; 1,97 ; 4,11 ; 7,00 ; 5,37 ;;;Trabalhando;hr; 12,55 ; 12,17 ; 11,92 ;;;Trabalhando;hr; 9,20 ;;;Trabalhando;hr; 8,19 ;;;Trabalhando;hr; 8,73 ; 6,83 ; 3,53 ;;;Trabalhando;hr; 12,32 ;;;Trabalhando;hr; 8,99 ;;;Trabalhando;hr; 7,00 ;;;Trabalhando;hr; 5,17 ; 6,49 ; 10,55 ;;;Trabalhando;hr; 7,93 ; 11,51 ; 13,54 ; 10,52 ; 12,27 ;;;Trabalhando;hr; 1,76 ; 3,31 ;;;Trabalhando;hr; 10,34 ; 11,20 ;;;Trabalhando;hr; 11,03 ; 11,03 ;;;Trabalhando;hr; 10,04 ; 10,04 ;;;Trabalhando;hr; 9,90 ;;;Trabalhando;hr; 4,20 ;;;Trabalhando;hr; 16,10 ;67%;;Trabalhando;hr; 16,80 ;70%;;Trabalhando;hr; 17,50 ;73%;;Trabalhando;hr; 20,40 ;;;;;;;;
Produção;ha/hr; 0,96 ;;;Produção;ha/hr; 12,00 ; 12,00 ; 12,00 ; 12,00 ;;;Produção;ha/hr; 9,60 ; 9,60 ; 9,60 ; 9,60 ;;;Produção;ha/hr; 2,10 ; 2,73 ; 3,50 ;;;Produção;ha/hr; 1,13 ;;;Produção;ha/hr; 1,10 ;;;Produção;ha/hr; 1,20 ; 1,20 ; 4,32 ;;;Produção;ha/hr; 1,08 ;;;Produção;ha/hr; 0,60 ;;;Produção;ha/hr; 1,01 ;;;Produção;ha/hr; 22,50 ; 16,80 ; 3,90 ;;;Produção;ha/hr; 10,80 ; 3,12 ; 1,88 ; 7,20 ; 2,50 ;;;Produção;ha/hr; 14,40 ; 14,40 ;;;Produção;ha/hr; 2,34 ; 2,34 ;;;Produção;ha/hr; 2,34 ; 2,34 ;;;Produção;ha/hr; 1,32 ; 1,32 ;;;Produção;ha/hr; 1,92 ;;;Produção;ha/hr; 2,16 ;;;Produção;ha/hr; 1,01 ;;;Produção;ha/hr; 0,53 ;;;Produção;ha/hr; 0,35 ;;;Produção;ha/hr; 3,36 ;;;;;;;;
Produção;dia; 12,86 ;;;Produção;dia; 70,08 ; 100,11 ; 137,41 ; 116,80 ;;;Produção;dia; 18,90 ; 39,48 ; 67,19 ; 51,56 ;;;Produção;dia; 26,35 ; 33,22 ; 41,74 ;;;Produção;dia; 10,35 ;;;Produção;dia; 9,01 ;;;Produção;dia; 10,47 ; 8,20 ; 15,24 ;;;Produção;dia; 13,31 ;;;Produção;dia; 5,39 ;;;Produção;dia; 7,06 ;;;Produção;dia; 116,33 ; 109,04 ; 41,13 ;;;Produção;dia; 85,61 ; 35,92 ; 25,45 ; 75,76 ; 30,67 ;;;Produção;dia; 25,39 ; 47,64 ;;;Produção;dia; 24,20 ; 26,21 ;;;Produção;dia; 25,82 ; 25,81 ;;;Produção;dia; 13,26 ; 13,26 ;;;Produção;dia; 19,00 ;;;Produção;dia; 9,07 ;;;Produção;dia; 16,23 ;;;Produção;dia; 8,95 ;;;Produção;dia; 6,05 ;;;Produção;dia; 68,54 ;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Motor Ligado;hr; 14,50 ;;;Motor Ligado;hr; 14,74 ; 14,74 ; 14,74 ; 14,74 ;;;Motor Ligado;hr; 16,20 ; 16,20 ; 16,20 ; 16,20 ;;;Motor Ligado;hr; 14,90 ; 14,80 ; 14,90 ;;;Motor Ligado;hr; 14,65 ;;;Motor Ligado;hr; 14,65 ;;;Motor Ligado;hr; 16,80 ; 16,80 ; 16,80 ;;;Motor Ligado;hr; 16,80 ;;;Motor Ligado;hr; 10,70 ;;;Motor Ligado;hr; 14,05 ;;;Motor Ligado;hr; 15,00 ; 15,00 ; 15,00 ;;;Motor Ligado;hr; 16,20 ; 16,20 ; 16,20 ; 16,20 ; 16,20 ;;;Motor Ligado;hr; 11,21 ; 11,21 ;;;Motor Ligado;hr; 15,50 ; 15,50 ;;;Motor Ligado;hr; 15,20 ; 15,20 ;;;Motor Ligado;hr; 14,90 ; 14,90 ;;;Motor Ligado;hr; 16,40 ;;;Motor Ligado;hr; 5,00 ;;;Motor Ligado;hr; 16,10 ;;;Motor Ligado;hr; 16,80 ;;;Motor Ligado;hr; 17,50 ;;;Motor Ligado;hr; 20,40 ;;;;;;;;
Deslocamento;hr/ha; 0,0777 ;;;Deslocamento;hr/ha; -   ; -   ; -   ; -   ;;;Deslocamento;hr/ha; 0,0529 ; 0,0253 ; 0,0149 ; 0,0194 ;;;Deslocamento;hr/ha; 0,0380 ; 0,0301 ; 0,0240 ;;;Deslocamento;hr/ha; 0,0966 ;;;Deslocamento;hr/ha; 0,1109 ;;;Deslocamento;hr/ha; 0,0478 ; 0,0610 ; 0,0328 ;;;Deslocamento;hr/ha; 0,0751 ;;;Deslocamento;hr/ha; 0,0927 ;;;Deslocamento;hr/ha; 0,0709 ;;;Deslocamento;hr/ha; 0,0172 ; 0,0183 ; 0,0486 ;;;Deslocamento;hr/ha; 0,0234 ; 0,0557 ; 0,0393 ; 0,0264 ; 0,0652 ;;;Deslocamento;hr/ha; 0,0788 ; 0,0420 ;;;Deslocamento;hr/ha; 0,0827 ; 0,0763 ;;;Deslocamento;hr/ha; 0,0387 ; 0,0387 ;;;Deslocamento;hr/ha; 0,1132 ; 0,1132 ;;;Deslocamento;hr/ha; 0,1052 ;;;Deslocamento;hr/ha; 0,0551 ;;;Deslocamento;hr/ha; -   ;;;Deslocamento;hr/ha; -   ;;;Deslocamento;hr/ha; -   ;;;Deslocamento;hr/ha; -   ;;;;;;;;
Rendimento;hr/ha; 1,1280 ;;;Rendimento;hr/ha; 0,2110 ; 0,1480 ; 0,1080 ; 0,1270 ;;;Rendimento;hr/ha; 0,8580 ; 0,4110 ; 0,2420 ; 0,3150 ;;;Rendimento;hr/ha; 0,5660 ; 0,4460 ; 0,3580 ;;;Rendimento;hr/ha; 1,4150 ;;;Rendimento;hr/ha; 1,6260 ;;;Rendimento;hr/ha; 1,6050 ; 2,0490 ; 1,1030 ;;;Rendimento;hr/ha; 1,2630 ;;;Rendimento;hr/ha; 1,9840 ;;;Rendimento;hr/ha; 1,9920 ;;;Rendimento;hr/ha; 0,1290 ; 0,1380 ; 0,3650 ;;;Rendimento;hr/ha; 0,1900 ; 0,4510 ; 0,6370 ; 0,2140 ; 0,5290 ;;;Rendimento;hr/ha; 0,4415 ; 0,2360 ;;;Rendimento;hr/ha; 0,6410 ; 0,5920 ;;;Rendimento;hr/ha; 0,5890 ; 0,5890 ;;;Rendimento;hr/ha; 1,1240 ; 1,1240 ;;;Rendimento;hr/ha; 0,8630 ;;;Rendimento;hr/ha; 0,5520 ;;;Rendimento;hr/ha; 0,9930 ;;;Rendimento;hr/ha; 1,8770 ;;;Rendimento;hr/ha; 2,8940 ;;;Rendimento;hr/ha; 0,2980 ;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Motobomba;hr/ha; 0,9930 ;;;Motobomba;hr/ha; 1,8770 ;;;Motobomba;hr/ha; 2,8940 ;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Produtividade;tch; 63,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Hidroroll;hr/ha; 1,9860 ;;;Hidroroll;hr/ha; 3,7540 ;;;Hidroroll;hr/ha; 5,7880 ;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Produção;ton; 339,79 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Consumo de Muda;ton; 16,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plantio;ha; 21,24 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Vinhaça; 16,23 ;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Blend; 6,05 ;1 Motor Ferti + 1 Motor Água;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Vinhaça;-10,18 ;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Blend; 6,05 ;1 Motor Água + 1 Motor Água;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-4,13 ;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hr/dia;; 24,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mês;; 30,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
semanas;; 4,29 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hrs mês disponível;; 720,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hrs janela;; 102,86 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hrs/dia janela;; 3,43 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
