Equipamento;Frente;Fazenda;Data de Alocação;Data Chegada;Entrada Cana;Distância;Tipo de Carga;Tempo Ida;Tempo Carregamento;Tempo Volta;Tempo Industria;Tempo Total;Start Automático;Gravação Automática;Tipo de Alocação;Unidade Destino;Mensagem Alocação;Carretas Entrada;Data Pesagem Entrada;Moído Entrada;Carretas Saída;Data Saída Carreta;Última Basculada Saída;Data Carregamento;Fazenda Carregamento;Tonelada Carregada;Código Transbordo
308381;3;20449;16/04/2026 00:02:11;16/04/2026 03:27:55;1162731;43.08;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);01:23:00;00:16:00;01:45:00;00:35:24;03:59:24;S;N;VIAGEM ;50;S;;;;;;;;;;
308378;4;20432;16/04/2026 00:12:14;16/04/2026 01:57:07;1162719;14.66;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);00:35:00;01:05:00;00:04:00;00:27:00;02:11:00;N;N;VIAGEM ;50;S;;;;;;;;;;
308361;3;20449;16/04/2026 00:15:11;16/04/2026 03:56:45;1162734;43.08;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);01:25:00;00:17:00;01:57:00;01:11:24;04:50:24;N;N;VIAGEM ;50;S;;;;;;;;;;
308382;27;30493;16/04/2026 00:17:58;16/04/2026 05:10:10;0;49.49;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);02:04:00;00:13:00;02:35:00;00:36:00;05:28:00;N;N;VIAGEM ;50;S;;;;;;;;;;
308369;10;20705;16/04/2026 00:31:14;16/04/2026 01:37:00;1162715;10.87;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);00:35:00;00:08:00;00:21:00;00:19:12;01:23:12;N;N;VIAGEM ;50;S;;;;;;;;;;
308368;1;20320;16/04/2026 00:39:28;16/04/2026 02:17:12;1162817;14.08;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);00:32:00;00:26:00;00:40:00;00:18:36;01:56:36;N;N;VIAGEM ;50;S;;;;;;;;;;
308395;4;20432;16/04/2026 00:41:20;16/04/2026 02:31:04;1162724;14.66;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);00:37:00;00:43:00;00:28:00;01:03:00;02:51:00;N;N;VIAGEM ;50;S;;;;;;;;;;
308365;3;20449;16/04/2026 00:55:37;16/04/2026 04:45:10;1162741;43.08;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);01:51:00;00:13:00;01:45:00;01:05:24;04:54:24;S;N;VIAGEM ;50;S;;;;;;;;;;
308406;2;20596;16/04/2026 00:55:52;16/04/2026 04:03:59;1162735;32.19;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);00:53:00;00:54:00;01:18:00;00:18:00;03:23:00;N;N;VIAGEM ;50;S;;;;;;;;;;
308401;27;30493;16/04/2026 01:18:32;16/04/2026 07:53:24;0;49.49;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);-;-;-;04:26:24;04:26:24;N;N;VIAGEM ;50;S;;;;;;;;;;
308397;4;20432;16/04/2026 01:19:06;16/04/2026 02:31:16;1162726;14.66;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);00:34:00;00:15:00;00:23:00;01:09:00;02:21:00;S;N;VIAGEM ;50;S;;;;;;;;;;
