Benchmarking CTC - Impureza Vegetal - Safra 2025;;;;;;;;;;;;;;
;Participante;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Jan;Fev;Média
92;Cofco - Meridiano;;10,49;9,75;8,9;7,37;7,64;7,38;7,96;9,43;;;;
93;Cofco - Catanduva;;8,68;9,54;9,7;7,67;5,78;5,98;6,55;8,12;;;;
94;Cocal PPT;10,61;10,59;10,08;10,3;9,85;9,66;9,82;9,76;9,57;;;;
95;Cocal NRD;8,99;8,83;9,08;8,99;8,16;8,28;8,13;8,24;8,99;;;;
96;Clealco - Queiroz;;9,59;6,77;5,8;5,54;5,39;4,62;5,07;5,77;;;;
97;Clealco - Clementina;;9,38;8,11;8,64;7,68;5,39;6,21;5,9;8,11;;;;
98;Cevasa;;8,08;8,61;8,76;9,54;8,1;7,27;8,06;10,86;;;;
99;Cerradão;;10,19;9,42;8,73;6,9;6,57;5,55;5,39;8,1;;;;
100;Cerradinho Bioenergia;;10,46;9,24;9,92;7,53;4,96;5,15;4,3;5,17;8,41;;;
101;Participante 101;;5,85;5,54;4,57;3,59;2,9;3,42;3,42;3,49;3,14;;;
102;Cargill Bioenergia - USF;;14,47;10,61;9,47;7,7;6,92;6,9;5,7;5,1;10,7;;;
103;Cargill Bioenergia - URD;;12,31;11,5;9,4;7,3;6,9;6,5;7,9;7,8;;;;
104;Cananova - Mirassol D Oeste;;8,35;5,46;7,98;8;8,11;7,07;6,98;8,49;;;;
105;Cananova - Lambari D Oeste;;11,34;9,65;8,45;7,26;6,6;6,24;6,64;6,96;;;;
106;CMAA - Vale do Tijuco;;8,23;6,89;6,23;5,33;4,87;5,36;6,16;9,58;;;;
107;CMAA - Canápolis;;11,49;9,13;8,53;7,09;6,57;5,61;6,93;7,96;;;;
108;Bunge - Rio Vermelho;;;10,27;9,83;9,43;10,84;10,7;11,5;12,39;;;;
109;Bunge - Nova Unialco;;9,41;9,33;9,4;9,05;9,34;9,43;9,79;10,45;;;;
110;Branco Peres;;6,46;6,65;9,66;9,56;6,81;5,81;6,15;7,28;;;;
111;Bevap;;10,71;8,25;7,44;7,66;8,24;8,83;8,85;9,84;;;;
112;Batatais;;12,86;11,93;9,31;8,35;8,21;7,74;9,15;10,95;;;;
113;Bandeirantes;;4,29;4,69;5,85;5,59;5,65;5,08;5,35;;;;;
114;Bambuí Bioenergia;;8,94;9,24;9,38;8,67;8,67;8,79;8,8;;;;;
115;Balbo - Uberaba;;8,05;7,17;6,05;5,15;4,88;4,84;5,45;6,12;;;;
116;Balbo - Santo Antonio;;5,16;5,18;5,28;5,09;5,08;5,17;5,39;5,63;;;;
117;BP - Tropical;10,98;11,54;10,68;8,91;8,03;6,75;6,5;7,19;7,23;;;;
118;BP - Santa Juliana;;8,18;8,72;6,21;5,67;5,43;5,55;;;;;;
119;BP - Pedro Afonso;8,85;12,91;12,07;11,49;11,09;9,99;10,41;12,33;;;;;
120;BP - Ouroeste;12,93;12,9;9,07;7,82;7,19;6,39;6,66;6,87;;;;;
121;BP - Monte Verde;;8,45;8,24;6,58;6,11;6,7;8,71;;;;;;
122;BP - Moema;8,24;8,1;7,66;7,72;7,79;7,71;8,24;7,87;;;;;
123;BP - Itumbiara;14,29;12,99;11,11;9,31;8,06;7,2;8,03;8,1;;;;;
124;BP - Ituiutaba;11,57;12,54;11,28;10,6;8,25;8,15;7,87;8,48;;;;;
125;BP - Itapagipe;12,93;9,01;8,01;6,58;5,09;5,27;5,11;7,76;;;;;
126;BP - Guariroba;13,93;12,23;12,29;10,98;9,09;8;7,41;10,57;;;;;
127;BP - Frutal;4,96;5,02;4,7;3,9;4,26;3,39;2,97;3,99;;;;;
128;Participante 128;;10,1;9,12;9,24;9,1;8,66;7,09;7,27;9,96;;;;
129;Participante 129;;4,64;3,54;2,91;2,69;2,38;2,31;2,59;2,41;;;;
130;Participante 130;;3,49;3,11;3,37;3,11;3,17;2,91;3,68;4,13;;;;
131;Aroeira;8,65;10,06;7,45;6,77;6,25;5,66;6,09;6,98;;;;;
132;Araporã Bioenergia;6,6;7,76;7,52;7,62;6,01;5,43;5,25;5,44;;;;;
133;Aralco - Nova Aralco;;3,78;4,67;3,6;3,18;2,55;3,64;2,4;;;;;
134;Alta Mogiana;;7,16;8,72;8,26;8,63;8,51;8,84;8,78;;;;;
135;Alcoeste;;11,91;9,12;8,37;7,37;6,85;7,57;7,95;10,67;;;;
136;Agropéu;;;9,51;8,37;7,53;6,61;6,13;6,09;7,54;;;;
137;Participante 137;6,36;5,05;5,64;6,14;5,5;5,17;5,02;5,47;7,17;6,76;;;
138;Adecoagro - Monte Alegre;8,22;7,83;7,95;;7,73;7,4;7,2;7,2;;;;;
139;Adecoagro - Ivinhema;10,68;;8,81;8,8;7,68;7,74;7,28;8,21;8,89;8,61;8,7;;
140;Adecoagro - Angélica;9,79;;7,7;7,59;7,07;6,88;6,77;7,09;8,89;8,67;10,46;;
