Benchmarking CTC - Safra 2025 - TCH média geral mês a mês (ton/ha);;;;;;;;;;;;;;
;Participante;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Jan;Fev;Média
118;Cofco - Meridiano;;80,6;82,7;84;76,7;90,6;76,7;64,4;51,7;56,6;;;
119;Cofco - Catanduva;;74,4;89,8;87;95,4;80;71,2;60,2;59,1;;;;
120;Cocal PPT;55,4;67,7;67,9;61,6;72,2;76;78,5;78,9;77,9;;;;
121;Cocal NRD;61,6;74;75,5;76,1;83,5;88,1;73,9;65,2;61,2;;;;
122;Clealco - Queiroz;;72,6;75,4;91,3;103,7;99,8;75,6;64;58,8;;;;
123;Clealco - Clementina;;71,9;64,6;86,4;99,6;119,6;92,4;62,1;74,6;;;;
124;Cevasa;;79,4;58,9;56,6;65,8;71,5;49,5;50;44,4;;;;
125;Cerradão;;84,2;89,5;87,5;88;85,7;75,4;65,9;66,5;;;;
126;Cerradinho Bioenergia;;72,8;77,6;87,2;89,3;86,1;77,6;72,6;71,1;80,3;;;
127;Participante 127;;80,4;108,3;114,1;126,9;118;91,7;80,1;63,2;47,4;;;
128;Cargill Bioenergia - USF;;77,1;77,2;73,5;78,5;77,9;68,3;66;59,2;61,4;;;
129;Cargill Bioenergia - URD;;66,2;79,4;79,6;80,3;75,5;67,7;60,8;57,5;;;;
130;Cananova - Mirassol D Oeste;;;74,4;108,8;103,1;98,3;88,3;;84,3;;;;
131;Cananova - Lambari D Oeste;;73,9;90,8;89,6;103,4;97,3;91,3;48,7;89,7;;;;
132;CMAA - Vale do Tijuco;;65,2;85;78,9;73,4;63;55,4;55,9;45,4;;;;
133;CMAA - Canápolis;;69,6;85,5;70;75,2;62,1;58,1;55,6;54,9;;;;
134;Bunge - Rio Vermelho;;;64,1;63,5;62,7;69,3;64,7;60,9;54,8;;;;
135;Bunge - Nova Unialco;;64;55,4;93,7;98,2;98,1;81,3;71,8;69,8;;;;
136;Branco Peres;;78;78,1;78,9;87,7;77,4;84,9;86;81,6;;;;
137;Bevap;;85,9;94,7;100,5;97,5;97,6;92,5;94,2;117,9;;;;
138;Batatais;;67,6;66,1;64,4;58,5;56,5;56,4;58,7;66,3;;;;
139;Bandeirantes;;97,4;94,2;76,4;86,4;96;86,6;78,1;;;;;
140;Bambuí Bioenergia;;60;66,6;65,8;61,4;64,2;61;60,5;;;;;
141;Balbo - Uberaba;;127,1;128,4;116,3;121,6;91,5;92,6;68,7;83,4;;;;
142;Balbo - Santo Antonio;;83,7;91,3;91,4;72,5;75,8;72,8;69,4;95,7;;;;
143;BP - Tropical;65,5;63,3;75,1;83,7;78,8;68,7;62,4;52,6;60,9;;;;
144;BP - Santa Juliana;;50,4;56,3;58,6;58,9;51,3;43;;;;;;
145;BP - Pedro Afonso;;68,4;66,1;72,9;66;59,4;63,5;51,4;;;;;
146;BP - Ouroeste;45,8;61,1;71,4;65,5;63;57,5;50,8;59;;;;;
147;BP - Monte Verde;;43,3;59,9;57,1;75,7;73,3;71,9;62,2;;;;;
148;BP - Moema;;54,2;74,2;73,7;65,8;55,7;49;38,1;;;;;
149;BP - Itumbiara;52,6;63,8;61,4;61,6;60,4;58,8;43,2;45,6;;;;;
150;BP - Ituiutaba;31,7;53,5;64,8;55,5;55,8;46,9;41,5;40,6;;;;;
151;BP - Itapagipe;55,2;68,1;69;68,8;69,1;52,4;49,1;45,2;;;;;
152;BP - Guariroba;24;53,2;59,1;58,5;58,7;58,9;45;41,2;;;;;
153;BP - Frutal;64,1;68,7;72,9;81,3;83,4;67,2;62,2;56,4;101,5;;;;
154;Atvos - Água Emendada;;;102,4;93,9;91,2;77,3;77;47,2;50,1;;;;
155;Atvos - Santa Luzia I;;48,3;88,8;92,8;90,9;97;74,8;65,3;63,4;81,5;;;
156;Atvos - Rio Claro;;85,9;71,9;77,6;87,3;83,7;61,1;52,9;40,8;;;;
157;Atvos - Polo SP;;99,3;72,7;80,6;83,7;63;56,5;57,5;49,2;49,9;;;
158;Atvos - Morro Vermelho;;46,8;68,6;78,4;74,1;67;75,9;62,2;44,7;29;;;
159;Atvos - Eldorado;28,5;41,1;96,1;98,9;90,5;89;77,3;65,5;59,3;97,8;;;
160;Atvos - Costa Rica;;70,4;73,9;80,8;79,6;81,9;80,3;69,4;57,2;59;;;
161;Atvos - Alto Taquari;;34,8;71,9;73,4;78,1;72,5;77,2;70,8;;;;;
162;Participante 162;;61,3;94,8;89,1;79,6;85,9;88,1;77,7;67,7;;;;
163;Participante 163;;86;102,5;95,7;82,8;72,2;67,4;56,3;52,5;;;;
164;Participante 164;;90,1;84,8;81;74,1;75,7;67,8;56,8;54,8;;;;
165;Aroeira;74,2;94;97,7;93,8;84;67,7;73,3;58,3;;;;;
166;Araporã Bioenergia;83;85,3;76,3;72,8;69,5;60,9;57,8;48,5;;;;;
167;Aralco - Nova Aralco;;46,3;67,6;74,3;77,6;78,1;65,4;61,9;;;;;
168;Alta Mogiana;;71,2;72,5;76,6;82,1;83,5;75,9;66,5;;;;;
169;Alcoeste;;80,7;71,2;79,1;84,3;89,1;73,7;52,8;59,4;;;;
170;Agroterenas - Rio Brilhante;;;77,3;77,1;81,3;81,4;66,2;53;68,7;66,4;;;
171;Agroterenas - Parag. Pta;;105,5;121,9;86,9;114,1;97,7;85,3;78,3;80,9;75,5;;;
172;Agroterenas - Maracaí;;130,2;104,6;90,3;95;96,6;76,9;68;79,8;95,6;;;
173;Agroterenas - Anaurilândia;;133,6;129,2;136,3;119,8;104;109,6;107,1;101,5;90,5;;;
174;Agropéu;;;70;70,4;76,3;79,5;70,1;60,2;44,8;;;;
175;Participante 175;67,6;71;78,4;68,1;85,8;80;83,9;91;81,4;83;;;
176;Adecoagro - Monte Alegre;79,3;79,2;79,7;75,8;78,5;65,2;60,7;54,7;;;;;
177;Adecoagro - Ivinhema;53,4;;78;69,5;74,6;53,1;59,5;73,1;75,3;109,1;126,9;;
178;Adecoagro - Angélica;57,7;;76,1;69,5;63,6;62,2;68,6;79,8;87,4;103,7;104,3;;
