Benchmarking CTC - Safra 2025 - TAH (ton de ATR/ha);;;;;;;;;;;;;;
;Participante;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Jan;Fev;Média
95;Energética Sta Helena;7,74;8,53;10,49;10,24;8,21;9,35;8,32;7,69;10,95;7,86;;;
96;Energética Serranópolis;;7,52;11,52;11,6;11,59;10,98;;;;;;;
97;Diana;8,41;9,15;11,4;11,24;14,38;14,5;16,19;14,83;11,86;8,81;;;
98;Denusa;;9,85;12,21;13,87;14,41;13,65;11,64;12,38;9,76;;;;
99;Participante 99;;9,71;12,47;11,84;14,04;14,22;12,62;11,2;11,66;;;;
100;Participante 100;;9,55;10,44;11,57;13,28;12,35;11,63;10,61;7,74;;;;
101;Della Coletta;;6,83;8,95;9,14;11,01;10,33;10,12;10,12;6,43;;;;
102;Dacalda;;9,05;11,44;11,87;10,09;11,62;13,21;11,98;10,02;9,28;;;
103;Da Mata;;;8,23;9,29;9,44;11,33;12,16;11,21;8,49;7,99;;;
104;Cox Energy - Coxag;;;11,37;11,22;12,76;14,73;12,4;11,6;;;;;
105;Coruripe - Lim. Oeste;;8,42;9,76;10,79;11,39;12,3;11,13;9,16;7,01;;;;
106;Coruripe - Iturama;;8,4;9,49;10,98;12,18;13,25;12,53;8,61;7,76;;;;
107;Coruripe - Carneirinho;;7,73;7,87;8,17;9,43;11,05;9,1;7,53;5,94;;;;
108;Colombo - Santa Albertina;;8,46;10,45;10,55;12,05;12,17;11,12;9,91;8,7;;;;
109;Colombo - Palestina;;6,38;9,52;10,77;11,16;10,8;10,06;7,49;5,78;;;;
110;Colombo - Ariranha;;6,15;10,4;10,55;12,02;14,13;12,49;9,5;7,9;7;;;
111;Cofco - Sebastianópolis;;7,65;9,11;9,48;10,47;13,38;11,77;8,42;5,27;7,75;;;
112;Cofco - Potirendaba;;9,6;11,05;12,23;14,52;14,36;13,86;9,53;8,64;;;;
