Benchmarking CTC - Safra 2025 - Estãgio Médio de Corte mês a mês ;;;;;;;;;;;;;;
;Participante;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Jan;Fev;Média
116;Cofco - Sebastianópolis;;3;2,7;2,9;2,8;2,4;2,6;3,8;3,9;3,7;;;
117;Cofco - Potirendaba;;4,3;3,6;3,1;2,1;2,7;2,8;3,4;3,7;;;;
118;Cofco - Meridiano;;3,3;3;2,5;2,7;2,3;2,6;3;3,5;2,2;;;
119;Cofco - Catanduva;;3,3;2,1;2,7;2,2;2,6;3;3,9;4,3;;;;
120;Cocal PPT;4,4;3,5;3,5;3,6;3,4;3,6;3,1;3,1;3,1;;;;
121;Cocal NRD;4,6;3,7;3,3;3,2;2,8;2,7;3,5;3,4;3,5;;;;
122;Clealco - Queiroz;;3,3;2,4;1,9;1,6;1,7;2,8;3,2;3,7;;;;
123;Clealco - Clementina;;3,8;2,9;2,7;1,6;1,7;3,1;2,9;3,5;;;;
124;Cevasa;;2,7;3,1;2,2;2,9;2,8;4,1;4;5,1;;;;
125;Cerradão;;4,7;3,3;3;2,7;3;3,8;4,1;4,1;;;;
126;Cerradinho Bioenergia;;4,7;3,1;2,9;4,1;5;5,3;4,4;5,1;6,1;;;
127;Participante 127;;5,1;2,8;1,4;1,2;1,8;3,7;4,8;6;6,8;;;
128;Cargill Bioenergia - USF;;5,5;3,6;3,3;3,6;3,8;3,9;4,4;4;4;;;
129;Cargill Bioenergia - URD;;5,6;4;3,5;4;4,1;4,2;4,5;4,8;;;;
130;Cananova - Mirassol D Oeste;;;7;6,7;4,6;4,7;4,1;;4,4;;;;
131;Cananova - Lambari D Oeste;;8;5;5,2;4,6;4,4;5,2;5,5;3;;;;
132;CMAA - Vale do Tijuco;;5,3;2,5;2,5;3,2;4,6;5;5,2;4,9;;;;
133;CMAA - Canápolis;;1,8;2,1;3;2,3;2,6;2,2;3,2;2,9;;;;
134;Bunge - Rio Vermelho;;;3,2;2,9;3,1;2,9;2,9;3,7;3,5;;;;
135;Bunge - Nova Unialco;;5,1;4,3;2,4;2,3;2,3;2,9;3,4;3,6;;;;
136;Branco Peres;;3,1;3;2,5;2,2;3,4;3,2;3,2;2,7;;;;
137;Bevap;;9,1;6,4;6,1;4,1;6,5;4,9;5,8;4,2;;;;
138;Batatais;;3,5;3,6;3,3;4,1;5;4,9;3,8;5,2;;;;
139;Bandeirantes;;4,5;4,5;4,8;4,8;4,2;3,6;4,3;;;;;
140;Bambuí Bioenergia;;5,4;4,2;4;3,5;3,3;4,4;4,8;;;;;
141;Balbo - Uberaba;;3,7;1,2;2,9;3,6;4,2;3,9;4,2;4,3;;;;
142;Balbo - Santo Antonio;;8,9;4,3;3,8;4;5,3;4,8;3,4;2,7;;;;
143;BP - Tropical;6,2;4,4;3;2,9;2,9;4,1;4,5;5;5,7;;;;
144;BP - Santa Juliana;;4,9;4,3;3,8;4;4,2;4,4;;;;;;
145;BP - Pedro Afonso;;4,4;4;3,1;4,3;4,6;5;5,2;;;;;
146;BP - Ouroeste;4,5;3,3;3,1;3,5;3,6;3,8;4,4;3,7;;;;;
147;BP - Monte Verde;;7,5;4,6;5,3;3,9;4,7;5,2;3,6;;;;;
148;BP - Moema;;2,8;2,6;2,5;3,6;4;4,1;3,9;;;;;
149;BP - Itumbiara;7;5,6;4,6;4;4;5,1;6,2;6,1;;;;;
150;BP - Ituiutaba;5;3,7;3,4;3,1;3,6;4,1;3,9;4,5;;;;;
151;BP - Itapagipe;3,8;2,3;3,8;3,4;3,1;3,9;4,5;4;;;;;
152;BP - Guariroba;5,3;3,2;4;2,8;3,5;3;3,3;4,2;;;;;
153;BP - Frutal;4,4;3,3;3,9;2,6;2,5;3,7;3,9;4,1;2,4;;;;
154;Atvos - Água Emendada;;;2,9;3,1;5,1;4;5,8;3,5;4;;;;
155;Atvos - Santa Luzia I;;4,3;4,5;3,4;2,4;2,7;3,5;3,5;3,6;3,4;;;
156;Atvos - Rio Claro;;2,4;2,7;1,8;2;2,2;2,8;3,6;3,7;;;;
157;Atvos - Polo SP;;2,3;2,3;2,1;2,1;2,8;3,2;3,3;3,1;3,3;;;
158;Atvos - Morro Vermelho;;3,4;2,4;2;2,3;3;3,1;2,9;3,8;2,6;;;
159;Atvos - Eldorado;7;6;2,8;3,2;5,1;3,1;3,5;3;3,8;2,6;;;
160;Atvos - Costa Rica;;3,3;2,7;3,3;2,5;4;3,1;3,8;3,7;4;;;
161;Atvos - Alto Taquari;;4,3;2,3;2,3;1,7;4,1;3;5,1;;;;;
162;Participante 162;;4,2;2,3;2,8;2,8;2,6;2,4;2,9;3,7;;;;
163;Participante 163;;2,3;1,7;2,4;2,9;3,1;3,4;3,5;3,5;;;;
164;Participante 164;;2,1;2,8;3;3,1;3,3;3,5;3,9;4,5;;;;
165;Aroeira;4,6;4,7;1,4;2,7;4,1;3,7;4,5;4,9;;;;;
