Benchmarking CTC - SAFRA 2025 - Intensidade Infestação de Broca (%);;;;;;;;;;;;;;
;Participante;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Jan;Fev;Média
89;Bunge - Rio Vermelho;;;1,3;0,7;0,2;0,3;0,6;0,5;0,2;;;;
90;Bunge - Nova Unialco;;1,1;0,6;0,7;0,5;0,6;1;0,8;0,4;;;;
91;Branco Peres;;0,5;0,4;0,5;0,4;0,5;0,9;0,6;0,5;;;;
92;Bevap;;0,6;1,5;1;2,3;4,7;2,1;4,1;0,7;;;;
93;Batatais;;1,3;0,8;1;0,9;0,5;0,7;0,4;0,1;;;;
94;Bandeirantes;;1,8;1;0,2;0,4;1;0,7;2,4;;;;;
95;Bambuí Bioenergia;;3,8;2,1;2,1;3,1;4;4,1;3,5;;;;;
96;Balbo - Santo Antonio;;1;0,9;0,6;0,4;0,7;0,7;0,8;;;;;
97;BP - Tropical;1,3;0,9;2,7;4,3;4,3;5,3;5,6;5,4;;;;;
98;BP - Santa Juliana;;0,4;1,5;1,2;0,4;1,5;2,9;;;;;;
99;BP - Pedro Afonso;0,8;0,4;0,1;0,3;0,1;0;0,3;0;;;;;
100;BP - Ouroeste;2,7;1,4;1,6;1,7;1,2;1,6;1,5;1,6;;;;;
101;BP - Monte Verde;;8,1;1,5;0,9;2,5;0,8;1,9;0;;;;;
102;BP - Moema;1,5;3,4;6,4;4,7;3,7;3,6;5,1;5,6;;;;;
103;BP - Itumbiara;0,7;0,8;1,2;1,5;1,5;1,3;0,8;0,3;0,2;;;;
104;BP - Ituiutaba;0,2;1,6;1,6;2,2;1,8;1,6;1,8;1,9;;;;;
105;BP - Itapagipe;7;12,2;5,4;9,4;10,8;8;6,6;5,5;;;;;
106;BP - Guariroba;;2,2;5,8;2,5;2,5;2,1;1,8;1,1;;;;;
107;BP - Frutal;1,8;1,5;2,5;2,1;1,6;2,5;2,5;2,8;;;;;
108;Atvos - Água Emendada;;;0,5;0,2;0,2;0,2;0;0,3;0,8;;;;
109;Atvos - Santa Luzia I;;0,6;0,5;0,9;0,4;0,8;0,8;0,4;0,6;0,7;;;
110;Atvos - Rio Claro;;1,2;0,4;1,3;9,8;4,1;1;0,3;0,6;;;;
111;Atvos - Polo SP;;1,2;0,6;2,1;0,9;1,4;0,7;0,7;0,6;0,3;;;
112;Atvos - Morro Vermelho;;0,5;0,8;0,8;0,5;0,3;0,1;0,5;0,2;;;;
113;Atvos - Eldorado;;0,3;0,5;0,6;0,5;0,6;0,9;1,7;2,4;2;;;
114;Atvos - Costa Rica;;0,1;0,1;0,2;0,3;0,3;0,2;0,4;0,4;0,3;;;
115;Atvos - Alto Taquari;;0;0;0,3;0,4;0,4;0,1;0,1;;;;;
116;Participante 116;;0,6;0,4;0,8;0,9;0,3;0,3;0,3;0,2;;;;
117;Participante 117;2,1;2,5;2,1;1,7;1,7;2,2;2,5;2,6;2,7;;;;
118;Participante 118;1,7;2,2;1,7;1,6;1,7;1,9;1,5;1,5;1,8;;;;
119;Aroeira;1,3;0,3;2;1,2;1,4;1,2;1,5;1,3;;;;;
120;Araporã Bioenergia;1,4;0,5;0,9;1,9;1,1;1,1;1,1;1,2;;;;;
121;Aralco - Nova Aralco;;0,8;0,9;1,2;1,6;2,7;1,5;1;;;;;
122;Alta Mogiana;;0,6;1,3;1,5;1,3;1,3;0,9;0,9;;;;;
123;Alcoeste;;1,6;1,6;2,9;1,3;4,8;1,7;1;0,7;;;;
124;Agroterenas - Rio Brilhante;;0,9;0,7;0,6;1,1;1,3;1;;;;;;
125;Agroterenas - Parag. Pta;;0,7;1,1;0,6;0,4;0,6;0,8;0,8;0,5;;;;
126;Agroterenas - Maracaí;;0,8;0,6;1;0,7;0,6;0,6;0,7;;;;;
127;Agroterenas - Anaurilândia;;1,6;1,5;3;2,2;3,5;4,3;2,5;3,1;;;;
128;Agropéu;;;0,4;1,9;1;0,8;1,1;0,6;;;;;
129;Participante 129;0,9;0,6;0,5;0,7;0,3;0,7;0,7;0,5;0,8;0;;;
130;Adecoagro - Monte Alegre;0,6;0,2;0,4;1,1;1,2;1;0,4;0,7;;;;;
131;Adecoagro - Ivinhema;0,1;;0,1;0,2;0,1;0,3;0,8;2,1;1,2;0,3;27,8;;
132;Adecoagro - Angélica;1,3;;0,5;0,5;0,4;0,2;0,6;0,2;0,4;1,3;28;;
