Benchmarking CTC - Safra 2025 - Total de área (ha) colhida mês a mês ;;;;;;;;;;;;;;
;Participante;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Jan;Fev;Média
108;Da Mata;;;7188;6059;4885;6964;7363;6824;7958;4564;;;
109;Cox Energy - Coxag;;;2773;3079;3604;3776;4117;3071;;;;;
110;Coruripe - Lim. Oeste;;1492;2634;2291;3226;7763;2655;2943;2169;;;;
111;Coruripe - Iturama;;2135;1329;1502;1985;2130;1704;2544;1783;;;;
112;Coruripe - Carneirinho;;1809;2255;2643;1888;3031;2853;3402;2488;;;;
113;Colombo - Santa Albertina;;774;3344;11278;3226;4003;3803;3905;3609;;;;
114;Colombo - Palestina;;1322;3069;2134;2880;3228;3745;3551;1059;;;;
115;Colombo - Ariranha;;87;8847;6218;4382;4261;7290;7995;8515;3419;;;
116;Cofco - Sebastianópolis;;2677;5592;5975;5653;4179;6254;7075;8330;214;;;
117;Cofco - Potirendaba;;2487;5807;4564;4467;4619;6077;5440;6573;;;;
118;Cofco - Meridiano;;2458;4680;4357;5783;4959;4566;5149;6484;91;;;
119;Cofco - Catanduva;;2647;4883;4881;4703;5950;6539;5949;4533;;;;
120;Cocal PPT;5421;4058;5371;4016;6368;7329;4830;3285;3699;;;;
121;Cocal NRD;7504;6721;8625;7397;7840;9037;8142;6273;5864;;;;
122;Clealco - Queiroz;;1528;3277;1282;1973;1395;1636;1839;935;;;;
123;Clealco - Clementina;;1211;593;272;619;320;986;170;94;;;;
124;Cevasa;;318;2370;1539;2192;2268;2422;3868;589;;;;
125;Cerradão;;1929;7110;5577;4687;4214;5222;4965;4429;;;;
126;Cerradinho Bioenergia;;4499;3836;3671;5044;4911;6124;5507;5067;412;;;
127;Participante 127;;1776;2084;795;665;542;1792;3989;4683;606;;;
128;Cargill Bioenergia - USF;;1573;6643;7926;9127;8775;9709;8542;8562;2905;;;
129;Cargill Bioenergia - URD;;2586;5338;5533;6449;6607;6169;6288;2908;;;;
130;Cananova - Mirassol D Oeste;;;43;166;1570;2788;1354;;3613;;;;
131;Cananova - Lambari D Oeste;;866;2336;2439;2093;1956;2214;2423;378;;;;
132;CMAA - Vale do Tijuco;;3162;8716;7504;8811;9151;8622;8928;3828;;;;
133;CMAA - Canápolis;;2285;2797;4016;3726;3863;3256;3661;2670;;;;
134;Bunge - Rio Vermelho;;;4384;3457;6447;6117;6505;5781;5659;;;;
135;Bunge - Nova Unialco;;1055;2505;674;4506;4706;5079;4691;3625;;;;
