Benchmarking CTC - Moagem Total mês a mês;;;;;;;;;;;;;;;;
;Participante;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Jan;Fev;Média;;
165;Aroeira;416150;321665;495256;511674;569601;523583;453506;238711;;;;;;;
166;Araporã Bioenergia;121594;180648;240983;208336;222074;210116;193456;142952;;;;;;;
167;Aralco - Nova Aralco;;24602;749591;697588;788677;844506;824277;537747;;;;;;;
168;Alta Mogiana;;410387;1009805;1001091;1105819;1068707;935743;674960;;;;;;;
169;Alcoeste;;144946;337025;319161;325947;331272;322571;236544;132721;;;;;;
170;Agroterenas - Rio Brilhante;;7045;113142;131842;154973;137034;125674;63713;89595;107172;;;;;
171;Agroterenas - Parag. Pta;;87183;373576;199710;331670;349885;367089;249000;258585;243700;;;;;
172;Agroterenas - Maracaí;;80730;315257;224737;440331;451643;374198;230048;268127;6826;;;;;
173;Agroterenas - Anaurilândia;;12485;89852;91962;127559;134899;188236;133297;83719;25177;;;;;
174;Agropéu;;;175875;159615;181430;174869;146407;146824;31058;;;;;;
175;Participante 175;121256;268783;411281;296391;563025;485477;490361;346305;309497;142612;;;;;
176;Adecoagro - Monte Alegre;5311;86147;172815;133858;124812;199961;124838;79221;;;;;;;
177;Adecoagro - Ivinhema;439568;;762839;665748;847984;807052;783206;451862;405971;363135;337611;;;;
178;Adecoagro - Angélica;343699;;628580;549007;663697;673900;657696;405364;385191;277130;337611;;;;
