 RANK ; FAZENDA ; AREA_HA ; TCH ; ATR ; TAH_GERAL ; CORTES_COM_DADO ; TALHOES 
 121,00 ; Fazenda Laranjeiras 2 ; 244,75 ; 58,81 ; 147,97 ; 8,70 ; 5,00 ; 15,00 
 125,00 ; Estancia 3A ; 645,86 ; 63,55 ; 135,50 ; 8,61 ; 5,00 ; 56,00 
 127,00 ; Sítio Três Anforas ; 145,62 ; 63,91 ; 133,82 ; 8,55 ; 5,00 ; 35,00 
 129,00 ; Fazenda Santa Maria ; 1.038,53 ; 61,64 ; 138,47 ; 8,53 ; 5,00 ; 127,00 
 134,00 ; Fazenda São Luiz ; 296,77 ; 57,30 ; 147,70 ; 8,46 ; 5,00 ; 37,00 
 135,00 ; Estância Santa Elisa ; 96,55 ; 60,36 ; 137,36 ; 8,29 ; 5,00 ; 5,00 
 136,00 ; Estância Tradição ; 250,69 ; 61,08 ; 134,10 ; 8,19 ; 5,00 ; 42,00 
 140,00 ; Estância  Boa Sorte ; 178,86 ; 60,55 ; 134,16 ; 8,12 ; 5,00 ; 21,00 
 142,00 ; Fazenda Daniela ; 647,39 ; 59,10 ; 136,48 ; 8,07 ; 5,00 ; 82,00 
 147,00 ; Estância Santo Expedito ; 219,16 ; 53,45 ; 147,90 ; 7,90 ; 5,00 ; 14,00 
 149,00 ; Fazenda Três Ilhas II ; 1.775,85 ; 55,81 ; 139,87 ; 7,81 ; 5,00 ; 76,00 
 150,00 ; Estância Vasconcelos ; 466,58 ; 53,67 ; 145,39 ; 7,80 ; 5,00 ; 21,00 
 151,00 ; Fazenda Santa Luzia ; 1.113,48 ; 55,77 ; 138,82 ; 7,74 ; 5,00 ; 161,00 
 166,00 ; Fazenda Rosana ; 1.721,19 ; 52,88 ; 132,10 ; 6,99 ; 5,00 ; 81,00 
 167,00 ; Sítio São João ; 83,56 ; 48,58 ; 142,76 ; 6,93 ; 5,00 ; 8,00 
 169,00 ; Fazenda Santa Terezinha ; 273,21 ; 50,15 ; 138,09 ; 6,92 ; 5,00 ; 12,00 
 176,00 ; Fazenda Primavera ; 714,27 ; 47,15 ; 136,45 ; 6,43 ; 5,00 ; 104,00 
 177,00 ; Fazenda Laranjeiras ; 1.544,08 ; 45,71 ; 140,66 ; 6,43 ; 5,00 ; 87,00 
 44,00 ; Fazenda Mercedina ; 7.368,53 ; 82,28 ; 138,32 ; 11,38 ; 6,00 ; 398,00 
 61,00 ; Fazenda Santa Irene II ; 1.582,24 ; 88,25 ; 120,20 ; 10,61 ; 6,00 ; 98,00 
 71,00 ; Fazenda Estância Fernanda ; 2.399,42 ; 72,16 ; 141,88 ; 10,24 ; 6,00 ; 168,00 
 72,00 ; Sítio Nossa Senhora Aparecida ; 221,49 ; 70,36 ; 145,09 ; 10,21 ; 6,00 ; 24,00 
 73,00 ; Fazenda Minerva ; 2.218,11 ; 74,55 ; 136,86 ; 10,20 ; 6,00 ; 158,00 
 75,00 ; Fazenda Três Poderes ; 2.106,71 ; 74,23 ; 136,54 ; 10,14 ; 6,00 ; 83,00 
 89,00 ; Fazenda Nossa Senhora de Lourdes ; 1.499,74 ; 67,05 ; 144,06 ; 9,66 ; 6,00 ; 93,00 
 106,00 ; Fazenda Monte Libano ; 1.499,60 ; 65,35 ; 139,35 ; 9,11 ; 6,00 ; 119,00 
 126,00 ; Fazenda Santa Irene III ; 2.644,26 ; 71,46 ; 119,83 ; 8,56 ; 6,00 ; 196,00 
 128,00 ; Fazenda Alvorada ; 1.360,49 ; 63,77 ; 134,08 ; 8,55 ; 6,00 ; 139,00 
 131,00 ; Fazenda Três Ilhas  ; 1.032,78 ; 63,54 ; 133,89 ; 8,51 ; 6,00 ; 64,00 
 146,00 ; Fazenda Olho D Agua ; 658,35 ; 56,78 ; 139,63 ; 7,93 ; 6,00 ; 61,00 
 152,00 ; Fazenda Santa Helena 2 ; 1.567,32 ; 56,90 ; 134,88 ; 7,67 ; 6,00 ; 126,00 
 154,00 ; Fazenda Sao Jorge ; 2.586,97 ; 53,36 ; 141,22 ; 7,54 ; 6,00 ; 469,00 
 162,00 ; Fazenda Três Marias ; 1.214,87 ; 52,03 ; 138,00 ; 7,18 ; 6,00 ; 48,00 
 175,00 ; Laranjeiras ; 248,61 ; 45,43 ; 141,63 ; 6,43 ; 6,00 ; 54,00 
 26,00 ; Fazenda Morada do Sol ; 1.564,44 ; 87,98 ; 141,51 ; 12,45 ; 7,00 ; 103,00 
 45,00 ; Fazenda Boa Esperança-Taquaruçu ; 3.046,46 ; 84,26 ; 135,06 ; 11,38 ; 7,00 ; 570,00 
 49,00 ; Fazenda Taquarussu ; 5.351,57 ; 81,53 ; 136,09 ; 11,10 ; 7,00 ; 430,00 
 51,00 ; Fazenda Vista Bonita ; 15.534,57 ; 82,00 ; 134,89 ; 11,06 ; 7,00 ; 945,00 
 53,00 ; Fazenda Agua Mansa ; 13.517,09 ; 82,61 ; 133,57 ; 11,03 ; 7,00 ; 1.197,00 
 54,00 ; Fazenda Horizonte ; 1.205,53 ; 82,41 ; 133,67 ; 11,02 ; 7,00 ; 92,00 
 55,00 ; Fazenda Velha Taquarussu ; 1.970,81 ; 82,08 ; 133,98 ; 11,00 ; 7,00 ; 207,00 
 77,00 ; Fazenda Boa Esperanca Frefer ; 3.415,56 ; 72,24 ; 138,52 ; 10,01 ; 7,00 ; 141,00 
 84,00 ; Fazenda Pederneiras ; 1.110,53 ; 70,65 ; 139,44 ; 9,85 ; 7,00 ; 52,00 
 112,00 ; Fazenda São Domingos ; 4.691,09 ; 67,56 ; 132,38 ; 8,94 ; 7,00 ; 169,00 
 124,00 ; Fazenda Santa Helena ; 2.380,86 ; 62,76 ; 137,47 ; 8,63 ; 7,00 ; 161,00 
 132,00 ; Fazenda Sao Domingos ; 1.254,23 ; 66,28 ; 128,27 ; 8,50 ; 7,00 ; 64,00 
 137,00 ; Fazenda Nossa Senhora Aparecida ; 4.554,42 ; 59,89 ; 136,73 ; 8,19 ; 7,00 ; 371,00 
 141,00 ; Fazenda Paineira ; 1.604,78 ; 62,14 ; 130,47 ; 8,11 ; 7,00 ; 179,00 
 185,00 ; Fazenda Santa Virginia Frefer ; 1.649,84 ; 43,17 ; 134,67 ; 5,81 ; 7,00 ; 97,00 
