FAZENDA;C1;C2;C3;C4;C5;C6;C7;MEDIA;CORTES_COM_DADO;AREA_TOTAL_HA;TAH_GERAL
Fazenda Mercedina;15,11;12,22;10,04;10,24;9,19;11,95;0,00;11,46;6,00;7.368,53;11,38
Fazenda Boa Esperança-Taquaruçu;14,52;13,21;12,62;10,67;10,13;10,34;8,70;11,46;7,00;3.046,46;11,38
Fazenda Chapada (Fabiano);10,56;12,33;0,00;0,00;0,00;0,00;0,00;11,45;2,00;471,08;11,45
Fazenda Agua Funda;17,87;5,65;9,59;12,56;11,44;0,00;0,00;11,42;5,00;89,95;11,42
Sitio Santo Boa Esperanca;8,33;19,37;9,77;7,76;0,00;0,00;0,00;11,31;4,00;54,93;11,35
Fazenda Morada do Sol;14,27;14,56;14,32;12,35;7,71;8,69;6,89;11,26;7,00;1.564,44;12,45
Estância Nativa I;0,00;11,84;14,51;12,88;5,77;0,00;0,00;11,25;4,00;137,34;11,09
Fazenda Santo Antônio ;14,44;15,27;11,72;8,62;5,78;0,00;0,00;11,17;5,00;1.750,11;12,64
Fazenda Amélia;13,30;11,82;0,00;0,00;0,00;0,00;8,17;11,10;3,00;891,90;11,84
Fazenda Nova Esperança - Estrada;21,34;11,79;10,35;6,78;4,97;0,00;0,00;11,04;5,00;9,35;11,04
Estância Opção;17,27;15,07;8,52;2,98;0,00;0,00;0,00;10,96;4,00;241,75;10,94
Fazenda Minerva;17,30;11,11;12,05;11,79;6,43;6,95;0,00;10,94;6,00;2.218,11;10,20
Fazenda Santa Alice;17,35;12,32;10,72;3,18;0,00;0,00;0,00;10,89;4,00;701,37;12,66
Sitio Boa Esperança;0,00;0,00;0,00;0,00;13,99;7,53;0,00;10,76;2,00;25,10;10,76
Fazenda Santa Virginia (Fabiano);9,64;11,59;0,00;0,00;0,00;0,00;0,00;10,61;2,00;1.566,71;10,62
Fazenda Cruzeiro do Sul (Fabiano);12,18;8,98;0,00;0,00;0,00;0,00;0,00;10,58;2,00;634,61;11,61
Fazenda Velha Taquarussu;13,08;13,43;11,51;8,92;9,47;7,95;9,68;10,58;7,00;1.970,81;11,00
Fazenda Harmonia;20,78;10,29;7,34;5,00;9,17;0,00;0,00;10,52;5,00;706,05;9,32
Fazenda Sao Luiz;9,81;18,62;7,66;5,87;0,00;0,00;0,00;10,49;4,00;74,57;8,01
Sitio Santa Catarina (Fabiano);10,47;0,00;0,00;0,00;0,00;0,00;0,00;10,47;1,00;2,00;10,47
Fazenda Agua Mansa;15,43;13,24;10,89;8,47;8,49;9,97;6,71;10,46;7,00;13.517,09;11,03
Fazenda Taquarussu;15,88;13,31;11,63;9,60;7,15;7,74;7,49;10,40;7,00;5.351,57;11,10
Fazenda Ouro Verde ;17,98;12,56;10,91;4,34;6,20;0,00;0,00;10,40;5,00;859,41;11,14
Sitio Rancho Alegre;16,49;12,02;8,69;4,34;0,00;0,00;0,00;10,38;4,00;428,61;10,38
Estância Santo Expedito;15,36;13,45;15,05;5,81;2,06;0,00;0,00;10,35;5,00;219,16;7,90
Setor/Lote E-43 Fazenda Jatay;0,00;10,32;0,00;0,00;0,00;0,00;0,00;10,32;1,00;31,38;10,32
Sítio Taquaruçu;10,24;19,56;0,00;3,55;7,92;0,00;0,00;10,32;4,00;132,48;10,30
Fazenda Boa Esperança;14,89;12,97;9,97;7,87;5,79;0,00;0,00;10,30;5,00;1.192,95;10,43
Fazenda Estância Fernanda;16,36;12,97;0,00;8,54;8,20;7,65;7,41;10,19;6,00;2.399,42;10,24
Fazenda Horizonte;18,95;14,30;12,32;9,14;5,64;5,14;5,69;10,17;7,00;1.205,53;11,02
Fazenda Pederneiras;15,56;13,42;9,89;7,33;7,58;10,16;7,16;10,16;7,00;1.110,53;9,85
Estância Santa Rita de Cássia;15,45;14,07;7,25;3,71;0,00;0,00;0,00;10,12;4,00;130,41;10,19
Fazenda Sossego;13,52;13,25;11,34;7,04;5,43;0,00;0,00;10,12;5,00;3.878,26;10,40
Fazenda Vista Bonita;14,35;14,64;11,16;9,67;7,42;6,73;6,78;10,11;7,00;15.534,57;11,06
Fazenda Concórdia;18,33;12,71;7,04;4,98;7,09;0,00;0,00;10,03;5,00;3.639,29;10,96
Fazenda Santa Paula;14,84;11,45;9,95;3,81;0,00;0,00;0,00;10,01;4,00;683,79;10,24
Sítio Jataí II;0,00;0,00;0,00;8,44;13,62;11,07;6,81;9,98;4,00;54,88;9,98
Fazenda São Jorge (Fabiano);9,96;0,00;0,00;0,00;0,00;0,00;0,00;9,96;1,00;118,84;9,96
Fazenda Bandeirantes II;9,54;10,37;0,00;0,00;0,00;0,00;0,00;9,96;2,00;295,90;9,96
Estância Duas Marias;17,56;9,68;10,11;0,00;2,48;0,00;0,00;9,95;4,00;55,75;10,00
Sitio Pato Branco I e II;17,66;14,19;0,00;5,16;6,35;6,33;0,00;9,94;5,00;130,97;8,76
Estancia Izaura;10,32;16,20;10,00;0,00;3,08;0,00;0,00;9,90;4,00;161,60;10,10
Fazenda Santa Irene II;11,46;14,54;8,51;9,24;0,00;8,27;7,25;9,88;6,00;1.582,24;10,61
Estância Paula;12,45;15,87;6,09;4,92;0,00;0,00;0,00;9,83;4,00;223,99;9,88
Fazenda Santa Terezinha;16,73;14,29;8,06;6,64;3,42;0,00;0,00;9,83;5,00;273,21;6,92
Fazenda 3 Poderes;14,28;8,72;10,73;6,26;9,00;0,00;0,00;9,80;5,00;797,88;9,79
Fazenda Três Poderes;12,98;11,95;9,05;9,81;7,66;6,85;0,00;9,72;6,00;2.106,71;10,14
Sítio Santa Rosa;15,60;8,41;7,09;7,77;0,00;0,00;0,00;9,72;4,00;119,22;9,74
Fazenda Nossa Senhora das Graças - Gleba C;0,00;6,25;10,89;13,27;8,30;0,00;0,00;9,68;4,00;160,76;9,68
Estância Santa Luzia;0,00;11,88;8,22;9,99;8,85;9,42;0,00;9,67;5,00;475,75;9,67
Fazenda Santo Antonio;7,71;13,72;10,29;6,68;0,00;0,00;0,00;9,60;4,00;427,19;9,59
Fazenda Nossa Senhora de Lourdes;16,55;11,67;6,75;6,45;11,39;4,78;0,00;9,60;6,00;1.499,74;9,66
Estância São José;17,20;12,97;9,35;5,31;3,13;0,00;0,00;9,59;5,00;541,68;9,89
Fazenda Santa Barbara;0,00;11,52;8,76;9,31;8,71;0,00;0,00;9,57;4,00;679,12;9,43
Sítio Três Anforas;10,96;0,00;13,52;9,11;5,44;8,57;0,00;9,52;5,00;145,62;8,55
Sítio Beira Alta;15,29;12,18;8,40;2,20;0,00;0,00;0,00;9,52;4,00;287,40;9,51
