CD_SAFRA;FAZENDA;AMBIENTE;VARIEDADE;CORTE;AREA_HA;TON_CANA;KG_ACUCAR;TCH;ATR;TAH_LINHA
22223;Fazenda Sao Jorge;Ambiente E;RB975033;3;2,42;102,20;13.907,94;42,23;136,09;5,75
22324;Fazenda Sao Jorge;Ambiente E;RB975033;4;2,42;90,15;12.072,19;37,25;133,92;4,99
22526;Fazenda Sao Jorge;Ambiente E;CTC1007;1;38,63;3.409,61;486.928,73;88,26;142,81;12,60
22122;Fazenda Sao Jorge;Ambiente E;RB975033;2;0,61;28,22;3.991,28;46,26;141,44;6,54
22223;Fazenda Sao Jorge;Ambiente E;RB975033;3;0,74;31,03;4.222,54;41,93;136,10;5,71
22324;Fazenda Sao Jorge;Ambiente E;RB975033;4;0,74;27,38;3.666,81;37,00;133,92;4,96
22526;Fazenda Sao Jorge;Ambiente E;CTC1007;1;9,77;861,67;123.055,84;88,20;142,81;12,60
22122;Fazenda Sao Jorge;Ambiente E;RB975033;2;3,16;147,90;20.919,89;46,80;141,44;6,62
22223;Fazenda Sao Jorge;Ambiente E;RB975033;3;3,16;133,34;18.148,45;42,19;136,11;5,74
22324;Fazenda Sao Jorge;Ambiente E;RB975033;4;3,16;117,60;15.749,05;37,22;133,92;4,98
22526;Fazenda Sao Jorge;Ambiente E;CTC1007;1;24,97;2.203,74;314.718,44;88,26;142,81;12,60
22122;Fazenda Sao Jorge;Ambiente E;RB975033;2;3,41;159,15;22.511,55;46,67;141,45;6,60
22223;Fazenda Sao Jorge;Ambiente E;RB975033;3;3,72;156,70;21.328,29;42,12;136,11;5,73
22324;Fazenda Sao Jorge;Ambiente E;RB975033;4;3,72;138,19;18.506,55;37,15;133,92;4,97
22526;Fazenda Sao Jorge;Ambiente E;CTC1007;1;5,83;514,83;73.524,31;88,31;142,81;12,61
22122;Fazenda Sao Jorge;Ambiente E;RB975033;2;2,86;133,61;18.898,02;46,72;141,44;6,61
22223;Fazenda Sao Jorge;Ambiente E;RB975033;3;3,34;141,12;19.206,52;42,25;136,10;5,75
